Code,forPNG,Latin name,Morphotyper,CodeMJ,Subfamily,Description,Note
PRIS 006,FALSE,Pristomyrmex aff. coggii Emery 1897,Petr 2020/03,,Myrmicinae,"close to sp. 4 but shorter pedinculus of petiolus, alos few dots above eyes, and scapus shorter than this sp., likely novel","Wanang, Winklers"
PROB 001,FALSE,"Probolomyrmex newguinensis Shattuck, Gunawardene & Heterick, 2012",Petr 2017/07,,Proceratiinae,"completely blind ""Ponerine"", by body and head shape/antens may remind Aenictus (army ants), but not two-segm petiolus, quite diff. looking from Disc and Proc (other Proceratiinae), frontal head only frons with antens visible",Wanang
PROC 001,TRUE,"Proceratium austronesicum Baroni Urbani & De Andrade, 2003",Petr 2016/04,,Proceratiinae,"dark brown, 3-4 mm,  may remind Ponera/Hypoponera, but almost blind (simgle white spot in mid-head) and apex of abdomen moving forward, widened apex of scapus",
PROL 001,TRUE,Prolasius sp. 1,Petr 2017/06,,Formicinae,"Reminds Paraparatrechina (alpes 6x4 formula and 12 anten. segm), but more random hairs not always in pairs and 3 ocelli on upper frons, sp.1 very similar to PROL002 (by pail (whitish) tarsi of hind legs and thorax shape), but has also short hairs on legs, on scapus and on petiolus",Numba
PROL 002,FALSE,Prolasius sp. 2 aff. sp. 1,Petr 2017/06,,Formicinae,"3 small ocelli on frons,  reminds most from all Prolasius Paraparatrechina (=no hairs on scapus but strong short pairs of hairs o thorax), brown/black whole body except of light (whitish) tarsus, very short tick hairs (4 pairs on thorax), *Resembles also quite Technomyrmex  but small hairs over the head and body, very well visible hairs around porus on abdomen!, by thorax shape and color very close to PROL001 but the latter species has random hairing over the body incl. small hairs on the head and on petiolus, quite close to PROL004 but a bit smalller, hairs in clear four pairs on thorax  / FORMER PARA012","M. Leponce, 1200m"
PROL 003,FALSE,Prolasius sp. 3,Petr 2017/06,,Formicinae,"dark small sp. reminding Paraparatrechina minutula gr. (4 pair of hairs on thorax- *not visible on photo due antena),  with ligh brown tarsi and light soft/very short hairs over scapus and body, eyes from frontal view almost touching head margin but not abrupting it and 3 ocelli on frons, high-elevational specialist from 2700m!, similar also to some austr. Prolasius on web (but not the same), 4 short hairs in pairs on thorax + fifth pair on prop. rearm and short hairs on head margin (x PROL004) / FORMER PARA018","Jimmy, 2700 m asl"
PROL 004,FALSE,Prolasius sp. 4,Petr 2017/06,,Formicinae,"hind tarsi not  pale as sp. 1 and 2 ( light brown) and diff. shape of thorax/propodeum (more in one line as in sp. 2), hairs thin and sparse and not in clear pairs as in sp. 2, no long hairs on the head margin in frontal view as in sp. 2 and also a bit larger, no long hairs on scapus / FORMER PARA019","Jimmy, 2200 m asl!"
PROL 005,FALSE,"""Prolasius"" sp. 5",Petr 2017/06,,Formicinae,"mimic of Technomyrmex (shape, petiolus, 5th segment of abd. not visible from dorsum) but has porus with hairs on abd.! alos small three ocelli on frons (likely Prolasius), see also TECH008 x Prol sp. 5 has longer hairs all over + relatively larger eyes + both coxa and tarsi pale color, relatively large size for TECH and PROL / FORMER TECH 009","Numba, unclear species (nothing similar in antweb for PNG-by key probably Prolasius)"
PSEU 001,TRUE,"Pseudolasius cf. breviceps Emery, 1887",Petr,PSEU002?,Formicinae,"yellow-brown pseudolasius, numerous hairs, rounded propodeum, very variable in size, large individuals have wide head with concave anterior, tends strange symbionts (Fulgoroidea?)","M. Leponce, 1200m and HP, very close to breviceps on antweb (wider head and well visible eyes, hairs and clapeus, concave top head), also smae looking in Yawan (can go along whole elevation as Philidris cordata)"
PSEU 002,TRUE,"Pseudolasius karawajewi Donisthorpe, 1942",Petr 2014/02,,Formicinae,"light-yellow compare to sp.1, with numerous hairs but within sample all worker have rather same and quite large size, (also tend strange symb. Auchenorhyncha symb as PSEU001), likely diff. sp.:  head not concave in frons and petiolus with numerous longer hairs, much lighter colour than PSEU001, less rounded clypeus and larger mandibles.","Wanang HP, very good fit with karawajewi on antweb"
PSEU 003,FALSE,"Pseudolasius cf. waigeuensis   Donisthorpe, 1943",Petr 2015/01,,Formicinae,"small polymorphic Pseu, almost blind (one pair of ocelli rather in middle of the head from frontal view) and soft short hairs all over the body inbcluding petiolus (more sp. on antweb like this but have longer hairs on top of head and no hairs on petiolus)","Kausi, 200 m, pitfall trap, fits well with  waigeuensis"
PYRA 001,FALSE,Pyramica sp. 1,,?,Myrmicinae,"queen of some myrmicinae, found in habitat where PHEI 014 nesting, but probably Pyramica genus…",
---RHOP 001,FALSE,"Tetramorium melleum Emery, 1897 --- see TETR",Petr 2015/04,,Myrmicinae,"Former Rhoptromyrmex melleus - yellow Tetr with wider concave head and very very long prop. spines and short carinae, smooth body",
RHOT 001,FALSE,"Rhopalomastix aff. rothneyi Forel, 1900",Justine,,Myrmicinae,"light coloured ""Vollenhovia"" likme ant, with glossy smooth body except of  soft longit. lines over whole thorax / singleton from Justine (beating) / according images and comm. with Ch.Petters is  Rhopalomastix - compare to rothneyi it has smooth glossy head (not with lines) / former VOLL012","unknjj3, 700 m"
RHYT 001,FALSE,"Rhytidoponera aenescens Emery, 1900",,?,Ectatomminae,"red ponerinae, sculptural redbrown body, the best match with R. aenescens in PNG pictures, lining going rather longitudinally (to the end of abdomen), petiolus more rounded posterior part than sp. 2",
RHYT 002,FALSE,"Rhytidoponera strigosa (Emery, 1887)",,?,Ectatomminae,"cf. RHYT 001 but larger body,  petiolus with more aparent sculpture and more angular shape, 2 abdom. parts with lines going around/accross of abdomen (not to the end abdomen), median ridge more visible across clypeus, on frons it got a sharp point above eyes from later.view as sp.4 (but not so evident, only very tiny one)","on antweb type FOCOL0904 has lighter color and more rounded petiolus with shorter pedincles than other  types - this one matches more with some Exxon sp. 2 specimens from 3A and 7A, but still considered as strigosa"
RHYT 003,FALSE,"Rhytidoponera inops Emery, 1900",,RHYT 003,Ectatomminae,"small Rhytidoponera only about 3mm long (twise smaller than strigosa!), red brown with light brown legs, fit wery well qith MJ Rhyt003 photos, lines around abdomen as in strigosa, it could be mixed with GNAM (has apparent spine bellow petiolus as GNAM002 but also lines on frons and deep lines on abdomen as GNAM001), however different quadrishaped rugolose petiolus as RHYT with lines on top of it, less deep pits  and rather rugolose and no spine on hind coxa",
RHYT 004,FALSE,"Rhytidoponera sp. 4 aff. laciniosa  Viehmeyer, 1912",Petr,,Ectatomminae,"medium large Rhyt. resembling RHYT002 (lines on abdomen NOT longitudinally) but got sharp corners extending from frons and petiolus with less prolonged pedinculus, liny clypeus with not enlarged median ridge, yellow legs compare to redish body,high elevation sp / on ant web most simialar to R. laciniosa but that species has not so apparent little spines on frons and has rather netty lines on first half of abdomen in types",M. Leponce 1200m and Jimmy 1700m
RHYT 005,FALSE,"Rhytidoponera cf. abdominalis Viehmeyer, 1912",Petr 2015/02,,Ectatomminae,"very large sp. resembling RHYT002 (lines NOT longitudinally towards the tip), compare to sp.1 and 2 got straight lines on sides of the head and on clypeus and more rounded petiolus (not quadrishaped), lines on abdomen all much deeper than in other Rhyt. sp., by size and sculpture closest to abdominalis (just on Ant web abdomen looks smoother than in our specimens, nexa and subcyanea have abdomen more liny, but very different body size - subc.- or thorax sculpture - nexa).",Jimmy/Tom 700 m
RHYT 006,FALSE,"Rhytidoponera araneoides (Le Guillou, 1842)",Petr 2018/06,,Ectatomminae,"size of sp. 1, With strongly quadrishaped corners above eyes (yet more than sp. 3), eyes abrupting head margins almost completely, soft lines on abd., and deep lines on petiolus (x R. aurata on Antweb also similar but yet stronger upper cornwers of head widened more upwards)",Exxon lowlands
ROGE 001,TRUE,"Rogeria cf. stigmatica Emery, 1897",,?,Myrmicinae,"dark brown with lighter abdomen (where full abdomen is getting orange), very short propodeal spines and scapus shorter than head margin, very large prop. spiracle,  deep netty sculpture on head and body, has no soldiers in nest, most to similar to Tetramorium but no ant. scrobes / *slightly different from R. stigmatica (not dots but lines on propodeum from dorsal view and around lateral flanges) = this as megastigmatica) but also differ much from megastigmatica (petiolar shape and thorax shape like stigmatica)",BEFORE AS TETR 009!
---SOLE 001,FALSE,see CARE 001,,?,Myrmicinae,,
---SOLE 002,FALSE,see CARE 006,,?,Myrmicinae,"smaller than S. papuana, light brown whole body and  bigger rounded petiolus, soft sculpture on the side of petiolus and propodeum and smaller eyes (only 1 ommatidium)",is Carebara accoriding antweb
---SOLE 003,FALSE,see CARE 003,,?,Myrmicinae,,
SOLE 004,TRUE,"Solenopsis papuana Emery, 1900",,?,Myrmicinae,"small light brown sp., about 2 mm  with long slender body (much bigger tha 001, 003,005), x 002-smooth whole body ans tiny eyes but of about 3 ommatidia, very tiny propodeal flanges, common on trees, match wery well with pictures on Antweb",
SOLE 005,FALSE,Solenopsis maxillosa Emery 1900,Petr 2017/07,,Myrmicinae,"smaller and darker in color compare to sp. 4, also smaller eye",
SOLE 006,FALSE,Solenopsis geminata (Fabricius 1804),Petr 2022/11,,Myrmicinae,"yellow to light br., reminds large Carebara (CARE007)  but not polymorphic and no prop spines with propodeum rounded and smooth and much larger eyes, cuticle smooth except a few dots on mid thorax and head, has lot of hairs over body and concave heads in soldiers and medium sized eyes (by these  reminds PSEU but diff. subf.!),frontal of clypeus has clear median hair + pair of sharp tubercles, 2 segm clubs as CARE and SOLE / invasive non native sp",Baiteta
STRU 001,TRUE,"Strumigenys cf. loriae Emery, 1897",,?,Myrmicinae,"rather large sp., light brown colour to orange, long propodeal and lightly upwards curved spines, heads with some depressions from above view, thick mandibules of medium length with  2 spines at the end + 1 accessory small blunt tooth behind them, , petiolar vetrum has spongy fine flange (x sp. 10)","ANIC: chyzeri x different mandibules (thicker without small round ""space between"" in front) / festigona: closer by mandibules, but sharp flanges from above / loriae is thew closest, compared with material from Madang, thick mandibles / pachycephala:also similar but darker colour, not sure what diff. from loriae /"
STRU 002,TRUE,"Strumigenys szalayi Emery, 1897",,?,Myrmicinae,"similarly coloured  as STRU 001, but shorter and not curved propodeal spines and smooth frons, narrower head (totally different shape of head from above vision), teeth at tips of manibles much loger and sharper than sp. 1","fit very well with pictures on antweb as well as with key, but note by Bolton that this species is very variable and can be a species complex with tigris nigra etc…: ANIC material: in one box mixture of ""lowland"" sp. 2 and ""highland"" sp.6, confirmed molecularly by Dough Booher that lowland is szalayi and sp. 6 different related to it"
STRU 003,TRUE,"Strumigenys cf. racabura Bolton, 2000",,?,Myrmicinae,"tiny yellow sp., smooth head and body, only tiny propodeal spines, long slender mandibulas","ANIC: fit quite with ferocior specimens very well, but also close to mayri and racabura, to check the book/ according Bolton key this sp. is racabura = smaller species with shorer scapus, punctated post petiolus and two long erected hairs in basiotarsus! (these hairs are missin in ferocior/mayri), Dough booher: ""ligur_nr_01"""
STRU 004,TRUE,Strumigenys sp. 4,,?,Myrmicinae,"very tiny light brown with ""cotton"" protuberances for humidity, similar to 003 but yet smaller with shorter mandibles like Pyramica (but still has large 3-4 teeth only in first half of mandibles, not along all margin, so according Shattuck key it shoudl be Strumigenys)","ANIC: close to emmae and undras, but lacking thick yellow hairs on the head (check key, could be new sp., Dough Booher put as DBB_120 biroi_nr_04)"
STRU 005,TRUE,"Strumigenys snellingi Bolton, 2000",,?,Myrmicinae,"rather bigger Stru. of brown colour, workers have covered body with ""fungi"" hairs unlike the queen, both Q and workers have membranous structure on petiolus and between mandibulas","only sp. with this pilosity structure in NG are horvathi and snellingi, this match with snellingi (Dough Booher and antweb pictures)"
STRU 006,TRUE,"Strumigenys sp. 6 aff. szalayi Emery, 1897",Nic,,Myrmicinae,"V. close to STRU002 but slightly larger, eyes differ in size, spines half the the length.",Dough Booher szalayi_nr_04 (sep. species by DNA)
STRU 007,FALSE,Strumigenys tigris,Petr,,Myrmicinae,"larger Strumigenys, light yellow with black abdomen and black prothorax and dark petiolus and postp., mountainous sp.","M. Leponce 2200 m, W.Taylor ID as tigris: evident from comúparison with holotype in ANIC as well as with Key paper by B.Brown 1971 (three sp. described there, but other light petiolus)"
STRU 008,TRUE,"Strumigenys sp. 8 aff. szalayi Emery, 1897",Nic,,Myrmicinae,"V. close to STRU006 x diff. colour of black brown body and head contrasting with yellow coxa and appendages, propodeal spines yet shorter, sometimes not visible and only as sharp corners, head and thorax looks more dotty, differences in general small (however szalayi/tigris sp. group described sp. often differ mainly by colour patterns and spines)","Yawan, and also in Mt. Wilhelm (STRUJJ2 Justine), DBB_149 in Dough Booher phylogeny, who confirms it is different sp. than sp.6."
STRU 009,FALSE,"Strumigenys pulchra Bolton, 2000",Petr 2015/01,,Myrmicinae,"brown small Stru with short straight mandibles and no prop. spines visible from side view becasue of large rounded white sponges structures over it and also over petiolus and postpetiolus and alos first half of abdomen, only two very short spines at tip (looks as one spine at the end and one more distand one under microscope)","Kausi, 200 m"
STRU 010,FALSE,Strumigenys sp. 10 aff. sp.1,Petr 2015/03,,Myrmicinae,"close to sp. 1 but dark brown with sharper and longer small accessory third tooth on mandibles behind the two arterior main teeth, and shorter prop. spines + more dotty sites of thorax incl. petiolus, manibles longer and thinner, petiolar vetrum has missing spongy-fine flange","Jimmy, Mt.Wilhelm 1200m, also similar indiv. in Wanang in Winkler (might coocurr with STRU001)"
STRU 011,TRUE,Strumigenys sp. 11,Petr 2016/04,,Myrmicinae,"body size and mandible shape as sp. 3, but has middle-thick setae on the head and on upper thorax and on antens (but less numerous and not on the legs as sp. 5 and 9), plus long thin satae also in inner marging of mandibles.","checked antweb, but did not found really same looking species"
STRU 012,FALSE,Strumigenys sp. 12 aff. tigris,Justine,,Myrmicinae,mountainous sp. very close to sp. 7 (tigris) but consistently light coloured (not balck) petiolus and postpetiolus,"STRUJJ3, 1200 m"
STRU 013,FALSE,Strumigenys sp. 13 aff. sp. 12,Justine,,Myrmicinae,mountainous sp. very close to sp. 7 (tigris) but consistently light coloured (not black) petiolus and postpetiolus. From sp. 12 it diffres in not rounded (long and narrow) petiolus and liny structure in frons,"STRUJJ3, 1700 m"
---STRU 014,FALSE,Strumigenys sp. 14 aff. sp. 9 - joined to sp. 9,Petr 2017/07,,Myrmicinae,"similar to sp. 9 but darker brown and hairy head and thorax - no wide yellow hairs as S. pulchra - joined back to sp. 9 - hairs probably broken off or covered by dirt, color variable from yellow to brown based on HP0783",
STRU 015,FALSE,Strumigenys sp. 15 aff. sp. 3,Petr 2017/07,,Myrmicinae,"close to sp. 3 but a bit darker color (brown) and fine dots on head and petiolus but mid-thorax lateraly smooth, prop. spines are shorter but also has very short but sharp prothoracal corners, compared to sp. 17 not so dark and smooth patch on thorax is larger and longer thinner scapus.",
STRU 016,TRUE,Strumigenys sp. 16 aff. sp. 11,Petr 2017/07,,Myrmicinae,"tiny Strumigenys with medium long mandibles with 3 teeth at tip only (as sp. 11), compere to sp. 11 it has shorter propodeal spines and lack the long whitish setae (only fe thin setae on body and on scapous especially).",
STRU 017,FALSE,Strumigenys sp. 17 aff. sp. 15,Petr 2017/07,,Myrmicinae,"smaller size and dark brown color, dots around whole body and head, spongeous structure on postpoetiolus especially, no widened hairs on the body, very short but well visible prop. Spines, sibling of sp. 15 but daker, more hairy and smooth patch lateraly on thorax is very small only near mid coxas, scapus shorter and thicker",
STRU 018,FALSE,Strumigenys sp. 18 aff. 4,Petr 2019/12,,Myrmicinae,"Pyramica like with short mandibles and teeth all along, small, deep and broad antennal scrobes, compared to sp. 4 it is darker brown, with long seate and propodeal spines short but present, much thicker scapus,  dotty sculpture on whole body and head sometimes beneath a whitish layer (dirty?)","lowland, Winklers"
STRU 019,FALSE,Strumigenys sp. 19,Pavel 2020/1,,Myrmicinae,"small brown Stru (1.5 mm) with thin mandibles and with long teeth, but length of mandibles rather shorts (1/4 head lenght), scapus very broadened, and antenns only 5 segments incl. scapus, short prop. spines and lines on first abdominal tergit from dorsal view","lowland, Winklers"
SYLL 001,FALSE,Syllophopsis australica (Forel 1907),Petr 2018/05,,Myrmicinae,"reminds Carebara/Solenopsis (tiny size, dotty eye, no spines) but has clearly 3-segm club as Monomorium or Anisopheidole (it is not Anisopheidole as diff. clypeus and even smaller eye; from Monomorium differs by smaller size and really tiny eyes - almost blind genus from litter)",Wanang / Former PHEI065
SYMBcocc,FALSE,Coccidae,,,,"coccids without white waxes and usually without legs, and other subfamilies",
SYMBother,FALSE,"other ""symbionts"" and inquilins (caterpillars, larvae, beetles, bugs)",,,,,
SYMBpsco,FALSE,Pseudococcidae,,,,small coccids with white waxes and usually with legs,
SYMBxxxx,FALSE,x,,x,,unidentified symbiont of ants,
TAPI 001,TRUE,"Tapinoma melanocephalum (Fabricius, 1793)",,TAPI 001,Dolichoderinae,"tiny soft dolichoderinae, white yellow body, brown head, usally light brown thorax but propodeal area may be darker colour like head, apparent division between clypeus and frons, hairs around 4th abd. segmetn of length as the segment",
TAPI 002,TRUE,"Tapinoma cf. indicum Forel, 1895",,?,Dolichoderinae,"very similar to T. melanocephalum, but smaller eyes and head and body from yellow to light brown (all more less one colour), shorter hairs on the end of abd.(much shorter than in melanocephalum), less visible division between frons and clypeus, two apparent hairs from front clypeus","similar T. indicum in Eguchi and ant web photos, ANIC: T.kiburri from Australia  also close but slightly darker colour and notches on front of clypeus, T. integrum also very close but diff. in thorax shape and eyes size, likely it is indicum (known also in Borneo and Indonesia)"
TAPI 003,TRUE,Tapinoma sp. 3 aff. williamsi (Wheeler 1935),,?,Dolichoderinae,"yellow tiny sp., some of them can be larger (dimorphic: has majors!), narrowed head,  very light in colour, from upper side visible only 4 segments as in Tapinoma","on web and keys the coklsest is williamsi known from Phillipines, however, our specimens have not so high/narrow head - especially in majors."
TAPI 004,TRUE,Tapinoma sp. 4,Justine,,Dolichoderinae,reminds Tech 005 (x even thorax shape compare to it)  and majors of Tapi 003 (x larger eyes and not so much high larrow head and longer scapus).,"TECHJJ2, 1200 m"
TECH 001,TRUE,"Technomyrmex cf. brunneus Forel, 1895",,TECH 001,Dolichoderinae,"match well with Bolton key and picture on antbase, medium black dolichoderinae, setal pairs on thx usually 1(2)-1(0)-1 (on mesonotum short, sometimes missing), no hairs on upper frons, not well apparent median notch, setal pairs usually 1-1(0)-1, darker in colour and with half of hind tarsus darker than other mophosp, a ridge on mandibula,  eyes smaller and more posteriorly and uppwards on the head",
TECH 002,TRUE,"Technomyrmex albipes (Smith F., 1861)",,wTECH 001,Dolichoderinae,"-confirmed by barcoding and match will with specimens from Ohu referred by Bolton, setal pairs on thx 3(2)-(1)-2, no hairs on upper frons, well apparent median notch,eyes larger and more in the middle of the head, no emarginations on the head and hairs on abdomen length of eyes so it is not elatior, no other sp. closer in the bolton key",
TECH 003,TRUE,Technomyrmex difficilis Forel 1892,,?,Dolichoderinae,"setal pairs on thx 2-1-2, also small pair of setae on the upper frons, well apparent median notch, eyes more on the sides of the head like in TECH 001, light yellow tarsi, according key fits well with T. difficilis",
TECH 004,TRUE,"Technomyrmex albicoxis Donisthorpe, 1945",,TECHX003,Dolichoderinae,"close to TECH 003, but lighter body and white legs incl. coxas, two pairs of hairs on frons above eyes and more rounded propodeum",
TECH 005,TRUE,"Technomyrmex gilvus Donisthorpe, 1941",,TECHX004,Dolichoderinae,"small yellow TECH, black round eyes, shape of thorax as in TECH, no hairs except of only on mandibulas and clypeus",
TECH 006,TRUE,"Technomyrmex vitiensis Mann, 1921",,,Dolichoderinae,"similar to TECH 002 by colour and legs, but much less hairy with only one pair of hairs on prothorax and one pair on propodeum, less posterious and larger eyes, almost right angle at propodeum, apparent median notch on clypeus, also similar to TECH 003/004 but frons without hairs!","fit well with vitiensis and it is known to occur in PNG, b ut so far rare in our samples..."
TECH 007,TRUE,"Technomyrmex mixtus Bolton, 2007",Nic,,Dolichoderinae,"Like TECH 003 but darker coloured antennae and tibiae, and slightly different mesothorax with more rounded propodeum than 003 (viewing dorsally), pair of hairs up on the head is longer than in 003",match well with T- mixtus according ant web as well as Bolton key
TECH 008,FALSE,Technomyrmex cf. cheesmanae,Petr,,Dolichoderinae,"large black Techn with lot of pairs of short hairs over thorax as well many on the head (both frons and upper region), and long pale tarsi, smaller eyes, close to chesmanne but hairs looks a bit finer/smaller compare to images (broken?)","M. Leponce 1200m, ANIC - cheesmanae - quite large sp., lighter colour and lot of hairs incl. two very long of upper frons - check with that one, also T.shattucki Bolton from Australia is similar sp. group"
---TECH 009,FALSE,Technomyrmex sp. 9 = PROL005,Petr 2016/01,,Dolichoderinae,closests to sp. 8 but longer hairs all over + relatively larger eyes + both coxa and tarsi pale color (as in sp. 4 x but larger size and hairs!),"Numba, unclear species (nothing similar in antweb for PNG)"
TECH 010,FALSE,Technomyrmex sp. 10,Justine,,Dolichoderinae,"singleton from high elevation, might be confused with T., mixtus (thorax shape, color)  but larger body and head as sp. 7, but almost no hairs and no hairs also on upper frons!, eyes not touching margins of the head, propodeum spiracle outreached greatly in side view,  can not be confused with albipes as much bigger.","P5177-1-3, 1700 m"
TECH 011,FALSE,"Technomyrmex sp. 11 aff. albicoxis Donisthorpe, 1945",Petr 2019/03,,Dolichoderinae,"very close to sp. 4 (whitish coxas and tarsi and pair of hairs on upper frons), but has darker tibias except the knees and also antennas funiculus aa rather dark except first segment, clypeus from frontal view has not well apparent lateral incisions","Exxon around 1100 m, 3A"
TERM 001,FALSE,"Microcerotermes biroi (Desneux, 1905)",,,TERMITES,"Termitinae, widespread termite in both forests",
TERM 002,FALSE,"Microcerotermes papuanus Holmgren, 1911",,,TERMITES,Termitinae,
TERM 003,FALSE,"Grallatotermes grallator (Desneux, 1905)",,,TERMITES,Nasutitermitinae,
TERM 004,FALSE,"Nasutitermes bikpelanus Roisin and Pasteels, 1985",,,TERMITES,Nasutitermitinae,
TERM 005,FALSE,Nasutitermes corniger (Motschulsky 1855),,,TERMITES,"Nasutitermitinae, former N. polygynus from N.Guinea but later examined that it is human transfer of neotropical N. corniger to Guinea! (Florida Entomologist 2005: 88(1))",
TERM 006,FALSE,"Nasutitermes principes (Desneux, 1905)",,,TERMITES,Nasutitermitinae,
TERM 007,FALSE,"Protocapritermes odontomachus  (Desneux, 1905)",,,TERMITES,Termitinae,
TERM 008,FALSE,Rhinotermitidae sp. 8,,,TERMITES,"Rhinotermitinae, not clear exact species",
TERM 009,FALSE,"Neotermes papua (Desneux, ???)",,,TERMITES,"Kalotermitidae, giant coccoa termite (Y Roisin)",
TERMxxxx,FALSE,x,,x,TERMITES,unidentified termite species,
TETP 001,TRUE,"Tetraponera laeviceps (Smith F., 1859)",,?,Pseudomyrmecinae,"black with lighter appandages, tiny small white hairs around body and petiolus, its a bit smaller with shorter head and more hairs than 003, compared sp. 6 much more hairy, with straight frontal clypeus margin and larger eyes, a simple straight sutura between mesothorax and propodeum",determined by P. Ward
TETP 002,FALSE,"Tetraponera nitida (Smith F., 1860)",,?,Pseudomyrmecinae,"black with light appandages, but almost without hairs,  smaller than TETP 001, larger eyes and more dorsolatelarly, and shorter narrow petiolus with small spining bellow, close to nitida acc. Wards key",determined by P. Ward
TETP 003,TRUE,"Tetraponera atra Donisthorpe, 1949",,?,Pseudomyrmecinae,"sibling of 001, but larger and less hairy (petiolus usually lack hairs, or only 1-2 pairs of tiny hairs), propodeum looks yet more rounded and higher (more prominent and narrow than rest of throrax), no longer hairs crossing head margins from frontal view on the sites of the head",determined by P. Ward
TETP 004,FALSE,"Tetraponera modesta (Smith F., 1860)",,?,Pseudomyrmecinae,"small tetraponera, yellow head and thorax, black abdomen, almost no hairs",see the key
---TETP 005,FALSE,Tetraponera sp. 5  = TETP001,,,Pseudomyrmecinae,"Sibling of TETP 001, but less hairy on petiolus and thorax, with no longer hairs except of prothorax, x but photos looks quite the same- hairs perhaps loosed",likely still TETP001 (hairs broken off)
TETP 006,FALSE,Tetraponera sp. 6 aff. sp. 1,Petr 2015/08,,Pseudomyrmecinae,"cf-sp. 1, color black but with dark blue lighting on mid-thorax, less hairy (glossy) and lacks longer hairs on petiolus and prothorax and head, also much less tiny fine hairs all over petiolus and thorax and  eyes a bit smaller/less protruding head margins (with more space among them on frontal view), propodeum more evenly rounded, mid thorax with sculptures incl. additional line on scutelum dorsal site, frontal margin of clypeus with distinct 4 teeth (other species even margin)",Numba
TETR 001,FALSE,Tetramorium sp. 1 aff. sp. 3,,?,Myrmicinae,"dark brown small sp., large propodeal spines plus vell visible sharp propodeal lobes, less hairy and smaller than TETR 003, numerous and deep linings on the head (5 unintreupted frontal lines x fewer in sp. 3 complex), postpetiolus smooth,  cariane  not smooth and lines on upper frons straight and not netty and scapoues reaching head margin from frontral view! (x TETR003).","Wanag, still singleton, kept sep. from sp. 3 due differences on head and postpetiolus (PK: note 2017)"
TETR 002,TRUE,"Tetramorium kydelphon Bolton, 1979",,?,Myrmicinae,"light brown, clear 3straight lines on clypeus-frons and medium one ending really in upper part, above view - thorax smaller sculpture with bigger scales only on front, well apparent sharp propodeal spines and angles",
TETR 003,TRUE,"Tetramorium cf. validisculum Emery, 1897",,?,Myrmicinae,"similar to TETR 001 but larger and wirth much shorter scapus, less sculptural thorax, broader petiolus and more hairy, has smooth antennal groove, only one line above eyes, different shape of postpetiolus, clear lines 1-2 connecting propodeal spines from above view","DNA suggest that TETR 003,004,011,014 and possibly also the light form from canopy 006 is one polymorphic species, with variable n of lines and on the head and colour, because of colour and habitat differences only TETR 003 and TETR 006 are kept as sep. morphosp."
---TETR 004,FALSE,"Tetramorium sp. 4 validisculum Emery, 1897  sp. group",,?,Myrmicinae,"very sim. to Tetr 003, differences in sculpures (especially on postpetiole and on sides of thorax, usually2 lines above eye, lining bellow spines - stronger reticulate structure, propodeal spines are not connected by simple line  - well visible from above view)","DNA suggest that TETR 003,004,011,014 and possibly also the light form from canopy 006 is one polymorphic species, with variable n of lines and on the head and colour, because of colour and habitat differences only TETR 003 and TETR 006 are kept as sep. morphosp."
TETR 006,TRUE,"Tetramorium sp. 6 aff. validisculum Emery, 1897",,?,Myrmicinae,"medium line from clypeus broken, several lines between propodeal spines, close to TETR 003, 008 and 011 group (validisculum), light brown head and thorax but quite variable in colour (immature indiv. whole yellow), usually orange colour, larger proportion of head to body with softer sculpture and grooves, large netty scupture on upper thorax and sides of prothorax /similar to 002 but- larger body and longer spines, has lines above eyes, more netty lines and more punctated ant.scrobes on frons than sp.3","MJ ID as T.bicarinatum but diff. from T. bicarinatum CASENT0171032 and CASENT0171033, also quite close to clade of TETR003 except of more netty frons and color - still unclear status (by colour and sculpture looks as bicarinatum, but by petiolus shape and length of spines rather as validiscum)"
---TETR 007,FALSE,"Tetramorium kydelphon Bolton, 1979   = same as 002!",,?,Myrmicinae,"sibling of TETR 002 (probably the same-connected with 002); antennal groove with dots and less liny than 002 (but not too sure if new sp.-maybe artefact of melanisation), queen very similar but slight differences in sculpturing (petiolus, head)",confirmed also in Barcoding that 002 and 007 the same
---TETR 008,FALSE,"Tetramorium sp. 8 validisculum Emery, 1897  sp. group",,?,Myrmicinae,"similar to TETR 003 and 004, but looks more sculptured, antennal grooves are almost smooth but not entirely like in 003 (little wrinkles), 2 lines above eye like in TETR004 but different lines on the head - medium line ends before uper third of head, propodeal spines are connected by several lines (from above view)","DNA suggest that TETR 003,004,011,014 and possibly also the light form from canopy 006 is one polymorphic species, with variable n of lines and on the head and colour, because of colour and habitat differences only TETR 003 and TETR 006 are kept as sep. morphosp."
TETR 010,FALSE,"Tetramorium bicolor Viehmeyer, 1914",,?,Myrmicinae,"small tetr., long propodeal spines and well visible sharp lobes, black brown head and abdomen, but yellow brown body incl postpetiolus, smooth antenal grooves and not lines on frons and clypus",good fit with ant web and newguineants.org photos
